site,year,month,Tave,Tmin,Tmax,ppt,rs.ppt
Sangudo,2019,7,15.4266129,9.757096774,21.09612903,149.3,82.115
Sangudo,2019,8,13.9563172,8.516935484,19.39569892,34.5,18.975
Sangudo,2019,9,10.50659444,5.220644444,15.79254444,49.53333333,27.24333333
Sangudo,2019,10,2.575322581,-3.076258065,8.226903226,22.73333333,22.73333333
Sangudo,2019,11,-4.040605556,-8.783688889,0.702477778,32.23333333,32.23333333
Sangudo,2019,12,-9.310698925,-14.55113978,-4.070258065,22.93333333,22.93333333
Stavely,2016,1,-1.433870968,-6.006451613,3.138709677,7,7
Stavely,2016,2,1.975862069,-3.120689655,7.072413793,1.9,1.9
Stavely,2016,3,3.538709677,-1.761290323,8.838709677,20.6,20.6
Stavely,2016,4,8.166666667,2.516666667,13.81666667,17.3,17.3
Stavely,2016,5,9.50483871,4.187096774,14.82258065,82.1,45.155
Stavely,2016,6,14.615,8.543333333,20.68666667,47.7,26.235
Stavely,2016,7,15.61129032,10.11290323,21.10967742,139.8,76.89
Stavely,2016,8,15.25806452,10.02903226,20.48709677,79.4,43.67
Stavely,2016,9,11.02833333,5.756666667,16.3,44.1,24.255
Stavely,2016,10,4.625806452,0.090322581,9.161290323,31.8,31.8
Stavely,2016,11,4.616666667,-0.013333333,9.246666667,3.4,3.4
Stavely,2016,12,-9.959677419,-14.03548387,-5.883870968,21.2,21.2
Stavely,2017,1,-6.014516129,-10.39032258,-1.638709677,14.5,14.5
Stavely,2017,2,-5.603571429,-9.821428571,-1.385714286,25.8,25.8
Stavely,2017,3,-2.120967742,-7.370967742,3.129032258,14.3,14.3
Stavely,2017,4,4.203333333,-0.72,9.126666667,90.1,90.1
Stavely,2017,5,11.43241935,5.499354839,17.36548387,54.1,29.755
Stavely,2017,6,14.01416667,8.296333333,19.732,77,42.35
Stavely,2017,7,18.88693548,11.52096774,26.25290323,27.6,15.18
Stavely,2017,8,17.62419355,10.73225806,24.51612903,13.1,7.205
Stavely,2017,9,12.722,6.691,18.753,16.8,9.24
Stavely,2017,10,5.62016129,0.146451613,11.09387097,24.9,24.9
Stavely,2017,11,-1.811666667,-6.456666667,2.833333333,16,16
Stavely,2017,12,-5.45483871,-10.31935484,-0.590322581,29.3,29.3
Stavely,2018,1,-2.99516129,-8.303225806,2.312903226,3.8,3.8
Stavely,2018,2,-10.20946429,-16.27964286,-4.139285714,24.3,24.3
Stavely,2018,3,-2.030645161,-7.058064516,2.996774194,27.8,27.8
Stavely,2018,4,1.731666667,-3.513333333,6.976666667,31.5,31.5
Stavely,2018,5,13.3516129,7.609677419,19.09354839,39.8,21.89
Stavely,2018,6,13.41166667,8.076666667,18.74666667,77.7,42.735
Stavely,2018,7,16.72096774,10.6483871,22.79354839,31.9,17.545
Stavely,2018,8,17.10032258,10.21483871,23.98580645,33.9,18.645
Stavely,2018,9,6.933333333,2.6,11.26666667,26.5,14.575
Stavely,2018,10,5.093548387,0.209677419,9.977419355,31.8,31.8
Stavely,2018,11,1.275,-3.633333333,6.183333333,14.6,14.6
Stavely,2018,12,-1.865967742,-6.537096774,2.80516129,8.083,8.083
Stavely,2019,1,-0.475806452,-5.787096774,4.835483871,8,8
Stavely,2019,2,-17.07857143,-21.86071429,-12.29642857,17.6,17.6
Stavely,2019,3,-1.014516129,-6.341935484,4.312903226,9.7,9.7
Stavely,2019,4,4.66,-0.823333333,10.14333333,16.7,16.7
Stavely,2019,5,8.030645161,3.3,12.76129032,94.1,51.755
Stavely,2019,6,12.64333333,6.906666667,18.38,52.8,29.04
Stavely,2019,7,15.31290323,9.719354839,20.90645161,71.6,39.38
Stavely,2019,8,15.27903226,9.541935484,21.01612903,81.6,44.88
Stavely,2019,9,10.27166667,5.823333333,14.72,48.2,26.51
