site,MAT,year,month,ppt,Tmax,Tmin,Tave,rs.ppt
Mattheis,4.2,1958,1,7,-1.4,-11.7,-6.5,7
Oyen,3.1,1958,1,7,-3,-12.7,-7.9,7
Twinriver,5.5,1958,1,5,5.9,-6.1,-0.1,5
Kinsella,2.7,1958,1,17,-4.6,-13.1,-8.8,17
Stavely,4.3,1958,1,13,4.1,-7.2,-1.5,13
Sangudo,2.8,1958,1,21,-2.2,-13,-7.6,21
Onefour,4.2,1959,1,21,-7.5,-18.6,-13,21
Mattheis,3.1,1959,1,14,-12.1,-22.6,-17.3,14
Oyen,2.3,1959,1,8,-13.3,-22.9,-18.1,8
Twinriver,4.2,1959,1,19,-3.1,-15.8,-9.4,19
Kinsella,1.9,1959,1,17,-16.1,-24.7,-20.4,17
Stavely,2.8,1959,1,32,-5,-17.2,-11.1,32
Sangudo,1.9,1959,1,34,-13.8,-24.4,-19.1,34
Onefour,4.7,1960,1,22,-4.8,-17.7,-11.2,22
Mattheis,3.6,1960,1,12,-7.9,-21.1,-14.5,12
Oyen,2.8,1960,1,9,-7.8,-20.3,-14,9
Twinriver,4.9,1960,1,19,-2.2,-14.1,-8.1,19
Kinsella,2,1960,1,7,-9.5,-20.6,-15.1,7
Stavely,3.7,1960,1,16,-3,-15.5,-9.2,16
Sangudo,2.5,1960,1,11,-6.6,-20.2,-13.4,11
Onefour,5.9,1961,1,8,0.4,-10.3,-4.9,8
Mattheis,4.3,1961,1,4,-2.6,-13.3,-8,4
Oyen,3,1961,1,4,-4.3,-14.8,-9.6,4
Twinriver,5.8,1961,1,4,4.3,-7.5,-1.6,4
